id,name,genres_first,has_remaster,target,age_classif,games_developed,has_parents,games_published,continent_name,onlinecoop,onlinecoopmax,onlinemax,splitscreen,classic_console,less_common_portable_console,mobile,modern_console,others,pc,portable_console,unknown_platforms_name,vr,battle_royale,co_operative,massively_multiplayer_online_mmo,multiplayer,single_player,split_screen,unknown_game_mode,auditory,bird_view_slash_isometric,first_person,side_view,text,third_person,unknown_player_perspectives,virtual_reality,has_global_launch
114777,Hero Emblems II,role-playing-rpg,0,0,No Rating,2.0,1.0,2.0,Asia,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
114912,Gravity Ace,arcade,0,1,All Ages,1.0,0.0,-1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
115796,MiniGolf Maker,sport,0,1,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
115928,Golf Pool VR,sport,0,0,No Rating,4.0,0.0,-1.0,Unknown,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
116022,Agtnan: Monster Shutdown Sequence,indie,0,0,No Rating,2.0,0.0,2.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
116583,Little Imps: A Dungeon Builder,strategy,0,0,No Rating,15.0,0.0,21.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
116599,Arctico,adventure,0,0,3+,1.0,0.0,-1.0,Unknown,1.0,2.0,2.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
116781,Little Witch Nobeta,shooter,0,0,16+,3.0,0.0,1.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
117167,Steel Seraph,adventure,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
117281,Nightmare Reaper,arcade,0,1,18+,2.0,0.0,2.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
117443,Midnight Remastered,arcade,0,0,15+,2.0,0.0,2.0,Unknown,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
117988,Gnosia,visual-novel,0,1,15+,2.0,0.0,-1.0,Unknown,,,,,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
118473,Electrician Simulator,simulator,0,0,3+,-1.0,0.0,17.0,Europe,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
118734,Luna Sky RDX,adventure,0,0,No Rating,1.0,0.0,1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
118994,Piko Piko,adventure,0,1,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
119051,Tournament: Blood & Steel,role-playing-rpg,0,0,No Rating,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
119158,Roller Champions,racing,0,1,10+,298.0,1.0,7.0,North America,,,,,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
